pose_loss:388.102661133 qua_loss:53.6873703003 regression_loss:11125.5761719
pose_loss:340.39932251 qua_loss:10.0630750656 regression_loss:2353.0144043
pose_loss:361.126525879 qua_loss:9.42117500305 regression_loss:2245.36157227
pose_loss:345.244750977 qua_loss:10.0487422943 regression_loss:2354.99316406
pose_loss:373.518188477 qua_loss:9.58463001251 regression_loss:2290.44433594
pose_loss:362.694152832 qua_loss:9.82450199127 regression_loss:2327.59448242
pose_loss:361.290161133 qua_loss:9.5942735672 regression_loss:2280.14501953
pose_loss:344.103851318 qua_loss:8.96816062927 regression_loss:2137.73583984
pose_loss:387.391937256 qua_loss:8.71178627014 regression_loss:2129.74926758
pose_loss:356.649810791 qua_loss:8.17535972595 regression_loss:1991.72167969
pose_loss:374.279754639 qua_loss:8.49954891205 regression_loss:2074.18945312
pose_loss:377.233642578 qua_loss:8.59149646759 regression_loss:2095.53295898
pose_loss:333.899780273 qua_loss:7.28511571884 regression_loss:1790.92297363
pose_loss:321.823791504 qua_loss:7.74475193024 regression_loss:1870.77416992
pose_loss:394.408477783 qua_loss:7.73889827728 regression_loss:1942.18811035
pose_loss:358.355041504 qua_loss:7.52538013458 regression_loss:1863.43115234
pose_loss:330.563049316 qua_loss:7.52147054672 regression_loss:1834.85717773
pose_loss:365.005554199 qua_loss:6.94898319244 regression_loss:1754.80224609
pose_loss:353.063140869 qua_loss:7.24977064133 regression_loss:1803.01721191
pose_loss:374.584869385 qua_loss:7.10572290421 regression_loss:1795.72937012
pose_loss:417.626525879 qua_loss:6.57390975952 regression_loss:1732.40844727
pose_loss:358.524414062 qua_loss:6.63914775848 regression_loss:1686.35400391
pose_loss:388.514282227 qua_loss:6.44986391068 regression_loss:1678.48706055
pose_loss:320.533416748 qua_loss:6.3963637352 regression_loss:1599.80615234
pose_loss:378.37109375 qua_loss:6.0441365242 regression_loss:1587.19836426
pose_loss:321.466003418 qua_loss:5.65865325928 regression_loss:1453.19677734
pose_loss:355.492431641 qua_loss:5.81290721893 regression_loss:1518.07385254
pose_loss:365.01272583 qua_loss:5.70117664337 regression_loss:1505.24804688
pose_loss:369.496765137 qua_loss:5.73327922821 regression_loss:1516.15258789
pose_loss:322.643463135 qua_loss:5.52181625366 regression_loss:1427.00671387
pose_loss:303.282409668 qua_loss:5.29433107376 regression_loss:1362.14868164
pose_loss:354.129333496 qua_loss:5.11489772797 regression_loss:1377.10888672
pose_loss:365.329925537 qua_loss:5.07456874847 regression_loss:1380.24365234
pose_loss:409.266174316 qua_loss:4.9642701149 regression_loss:1402.12011719
pose_loss:329.470306396 qua_loss:5.05600166321 regression_loss:1340.6706543
pose_loss:331.985351562 qua_loss:4.61372232437 regression_loss:1254.72973633
pose_loss:395.112915039 qua_loss:4.72129821777 regression_loss:1339.37255859
pose_loss:358.478515625 qua_loss:4.69634389877 regression_loss:1297.74731445
pose_loss:358.213531494 qua_loss:4.5875377655 regression_loss:1275.72106934
pose_loss:317.207397461 qua_loss:4.44405984879 regression_loss:1206.01928711
pose_loss:358.745056152 qua_loss:4.44082355499 regression_loss:1246.90979004
pose_loss:383.700622559 qua_loss:4.2256155014 regression_loss:1228.82373047
pose_loss:329.26272583 qua_loss:4.02937650681 regression_loss:1135.13806152
pose_loss:336.1328125 qua_loss:4.20747756958 regression_loss:1177.6282959
pose_loss:343.091949463 qua_loss:4.36431646347 regression_loss:1215.9552002
pose_loss:301.823303223 qua_loss:3.75865316391 regression_loss:1053.55395508
pose_loss:372.525756836 qua_loss:3.86661624908 regression_loss:1145.84899902
pose_loss:412.429656982 qua_loss:4.17761707306 regression_loss:1247.953125
pose_loss:374.37677002 qua_loss:3.74404931068 regression_loss:1123.18664551
pose_loss:378.152893066 qua_loss:3.91226625443 regression_loss:1160.60620117
pose_loss:349.210571289 qua_loss:4.04772233963 regression_loss:1158.75512695
pose_loss:374.67364502 qua_loss:3.62393045425 regression_loss:1099.4597168
pose_loss:317.553039551 qua_loss:3.97399401665 regression_loss:1112.35180664
pose_loss:339.330108643 qua_loss:3.86154270172 regression_loss:1111.63867188
pose_loss:301.399932861 qua_loss:3.46960496902 regression_loss:995.320922852
pose_loss:332.091339111 qua_loss:3.41849350929 regression_loss:1015.79003906
pose_loss:381.441101074 qua_loss:3.38470888138 regression_loss:1058.3828125
pose_loss:365.644104004 qua_loss:3.28281378746 regression_loss:1022.20684814
pose_loss:336.894989014 qua_loss:3.2207903862 regression_loss:981.053100586
pose_loss:404.435546875 qua_loss:3.11964559555 regression_loss:1028.36474609
pose_loss:378.388183594 qua_loss:3.22216653824 regression_loss:1022.82147217
pose_loss:350.075439453 qua_loss:3.26465678215 regression_loss:1003.0067749
pose_loss:365.394683838 qua_loss:2.85080337524 regression_loss:935.555297852
pose_loss:336.530303955 qua_loss:3.01627182961 regression_loss:939.784667969
pose_loss:332.304534912 qua_loss:2.87891602516 regression_loss:908.087768555
pose_loss:316.905883789 qua_loss:2.83979511261 regression_loss:884.864929199
pose_loss:375.252929688 qua_loss:3.01457834244 regression_loss:978.168579102
pose_loss:386.597869873 qua_loss:3.05840396881 regression_loss:998.278686523
pose_loss:286.574188232 qua_loss:3.07179117203 regression_loss:900.932373047
pose_loss:340.073059082 qua_loss:2.80572652817 regression_loss:901.218383789
pose_loss:339.424194336 qua_loss:2.72616934776 regression_loss:884.658081055
pose_loss:356.945129395 qua_loss:2.7213845253 regression_loss:901.222045898
pose_loss:361.63369751 qua_loss:2.67872023582 regression_loss:897.377685547
pose_loss:376.677337646 qua_loss:2.46370363235 regression_loss:869.41809082
pose_loss:418.575134277 qua_loss:2.52554178238 regression_loss:923.68347168
pose_loss:404.406677246 qua_loss:2.34085726738 regression_loss:872.578125
pose_loss:342.556884766 qua_loss:2.53551077843 regression_loss:849.659057617
pose_loss:359.029296875 qua_loss:2.49484348297 regression_loss:857.99798584
pose_loss:358.75994873 qua_loss:2.61556982994 regression_loss:881.873901367
pose_loss:371.272399902 qua_loss:2.43907594681 regression_loss:859.087585449
pose_loss:326.778198242 qua_loss:2.66177368164 regression_loss:859.13293457
pose_loss:334.110321045 qua_loss:2.30762267113 regression_loss:795.634887695
pose_loss:364.621520996 qua_loss:2.4604780674 regression_loss:856.717163086
pose_loss:384.306152344 qua_loss:2.2668390274 regression_loss:837.673950195
pose_loss:347.129547119 qua_loss:2.18460869789 regression_loss:784.051269531
pose_loss:330.449981689 qua_loss:2.29294419289 regression_loss:789.038818359
pose_loss:343.76864624 qua_loss:2.28361225128 regression_loss:800.491088867
pose_loss:340.916320801 qua_loss:2.49448013306 regression_loss:839.81237793
pose_loss:375.830596924 qua_loss:2.19353222847 regression_loss:814.53704834
pose_loss:376.468536377 qua_loss:2.20883846283 regression_loss:818.236206055
pose_loss:324.19152832 qua_loss:2.42252445221 regression_loss:808.696411133
pose_loss:340.399871826 qua_loss:2.11606740952 regression_loss:763.613342285
pose_loss:335.902587891 qua_loss:2.2749915123 regression_loss:790.900878906
pose_loss:344.161865234 qua_loss:2.36122202873 regression_loss:816.40625
pose_loss:326.50668335 qua_loss:2.24934315681 regression_loss:776.375305176
pose_loss:340.601135254 qua_loss:2.10094428062 regression_loss:760.789978027
pose_loss:343.520996094 qua_loss:1.94001054764 regression_loss:731.523071289
pose_loss:379.332946777 qua_loss:2.05692434311 regression_loss:790.717773438
pose_loss:348.377838135 qua_loss:1.97320067883 regression_loss:743.017944336
pose_loss:351.950500488 qua_loss:2.4192917347 regression_loss:835.808837891
pose_loss:385.466430664 qua_loss:2.06600522995 regression_loss:798.667480469
pose_loss:354.374420166 qua_loss:2.27630972862 regression_loss:809.636352539
pose_loss:340.132843018 qua_loss:2.04861545563 regression_loss:749.855957031
pose_loss:332.807037354 qua_loss:1.98499011993 regression_loss:729.805053711
pose_loss:319.383666992 qua_loss:2.35393333435 regression_loss:790.170349121
pose_loss:358.806976318 qua_loss:2.05306863785 regression_loss:769.420715332
pose_loss:351.191589355 qua_loss:1.9769192934 regression_loss:746.575439453
pose_loss:361.598297119 qua_loss:2.04778385162 regression_loss:771.155029297
pose_loss:360.470977783 qua_loss:2.28289580345 regression_loss:817.050170898
pose_loss:306.45690918 qua_loss:1.95375931263 regression_loss:697.208740234
pose_loss:331.987579346 qua_loss:1.90824651718 regression_loss:713.63684082
pose_loss:349.495727539 qua_loss:2.1087038517 regression_loss:771.23651123
pose_loss:350.424072266 qua_loss:2.13000440598 regression_loss:776.424926758
pose_loss:341.364654541 qua_loss:2.42400598526 regression_loss:826.165893555
pose_loss:404.972198486 qua_loss:1.97826898098 regression_loss:800.625976562
pose_loss:334.775085449 qua_loss:1.94631671906 regression_loss:724.038452148
pose_loss:368.757507324 qua_loss:1.90570640564 regression_loss:749.898803711
pose_loss:330.155212402 qua_loss:1.87142133713 regression_loss:704.439453125
pose_loss:386.691345215 qua_loss:2.1382727623 regression_loss:814.34588623
pose_loss:323.934326172 qua_loss:2.0685095787 regression_loss:737.636230469
pose_loss:363.918884277 qua_loss:1.78650581837 regression_loss:721.220092773
pose_loss:362.059448242 qua_loss:1.77523672581 regression_loss:717.106811523
pose_loss:324.019775391 qua_loss:2.13149499893 regression_loss:750.318786621
pose_loss:310.373504639 qua_loss:2.08710289001 regression_loss:727.794067383
pose_loss:361.721343994 qua_loss:2.11325311661 regression_loss:784.371948242
pose_loss:402.905639648 qua_loss:2.02664613724 regression_loss:808.234863281
pose_loss:352.715881348 qua_loss:1.97332763672 regression_loss:747.381408691
pose_loss:327.941619873 qua_loss:2.15990257263 regression_loss:759.922119141
pose_loss:376.382354736 qua_loss:1.81028795242 regression_loss:738.439941406
pose_loss:320.353973389 qua_loss:1.84320425987 regression_loss:688.994812012
pose_loss:309.107910156 qua_loss:1.99658310413 regression_loss:708.424560547
pose_loss:391.664367676 qua_loss:1.95960843563 regression_loss:783.58605957
pose_loss:339.293823242 qua_loss:1.82784080505 regression_loss:704.861999512
pose_loss:301.388061523 qua_loss:1.86288964748 regression_loss:673.966003418
pose_loss:322.423492432 qua_loss:1.98771214485 regression_loss:719.965942383
pose_loss:348.038787842 qua_loss:1.80624330044 regression_loss:709.287475586
pose_loss:306.720306396 qua_loss:1.74701857567 regression_loss:656.124023438
pose_loss:369.217224121 qua_loss:2.04108071327 regression_loss:777.433349609
pose_loss:342.483123779 qua_loss:1.91985964775 regression_loss:726.455078125
pose_loss:362.993103027 qua_loss:2.10797595978 regression_loss:784.588256836
pose_loss:355.869873047 qua_loss:1.8349262476 regression_loss:722.855102539
pose_loss:354.6484375 qua_loss:1.82842814922 regression_loss:720.334106445
pose_loss:350.874298096 qua_loss:1.87942695618 regression_loss:726.759643555
pose_loss:349.499786377 qua_loss:2.10909175873 regression_loss:771.318115234
pose_loss:341.984161377 qua_loss:1.77975487709 regression_loss:697.935180664
pose_loss:345.109741211 qua_loss:1.93695938587 regression_loss:732.501586914
pose_loss:383.541229248 qua_loss:2.11168622971 regression_loss:805.878479004
pose_loss:370.961547852 qua_loss:2.22861742973 regression_loss:816.685058594
pose_loss:317.774108887 qua_loss:1.97764539719 regression_loss:713.303222656
pose_loss:371.801269531 qua_loss:1.97127556801 regression_loss:766.056396484
pose_loss:363.912841797 qua_loss:2.1871035099 regression_loss:801.333557129
pose_loss:321.879333496 qua_loss:2.05445194244 regression_loss:732.769714355
pose_loss:396.039123535 qua_loss:1.71129715443 regression_loss:738.298583984
pose_loss:352.296173096 qua_loss:2.07242703438 regression_loss:766.781616211
pose_loss:331.987823486 qua_loss:2.15794324875 regression_loss:763.576477051
pose_loss:362.571044922 qua_loss:1.87131333351 regression_loss:736.833740234
pose_loss:352.405212402 qua_loss:1.95980191231 regression_loss:744.365600586
pose_loss:348.865020752 qua_loss:1.79522871971 regression_loss:707.910766602
pose_loss:325.439208984 qua_loss:1.78613102436 regression_loss:682.665405273
pose_loss:386.756469727 qua_loss:1.83627414703 regression_loss:754.011291504
pose_loss:376.53338623 qua_loss:1.95695102215 regression_loss:767.923583984
pose_loss:338.354797363 qua_loss:1.7261698246 regression_loss:683.588745117
pose_loss:397.885925293 qua_loss:1.83332288265 regression_loss:764.550537109
pose_loss:365.504974365 qua_loss:2.03232097626 regression_loss:771.969177246
pose_loss:412.163635254 qua_loss:1.89619517326 regression_loss:791.402709961
pose_loss:321.808563232 qua_loss:1.72658061981 regression_loss:667.124694824
pose_loss:333.477355957 qua_loss:2.00467777252 regression_loss:734.412902832
pose_loss:389.442565918 qua_loss:1.81354427338 regression_loss:752.151428223
pose_loss:367.727050781 qua_loss:1.78581881523 regression_loss:724.890808105
pose_loss:368.281951904 qua_loss:1.84934306145 regression_loss:738.15057373
pose_loss:361.954162598 qua_loss:1.91271829605 regression_loss:744.497802734
pose_loss:344.90737915 qua_loss:1.75506269932 regression_loss:695.919921875
pose_loss:357.598388672 qua_loss:1.96718680859 regression_loss:751.035766602
pose_loss:332.63684082 qua_loss:1.67591261864 regression_loss:667.819335938
pose_loss:342.315460205 qua_loss:1.91228497028 regression_loss:724.772460938
pose_loss:318.76071167 qua_loss:1.9532238245 regression_loss:709.405517578
pose_loss:354.748901367 qua_loss:1.89588999748 regression_loss:733.926879883
pose_loss:341.919281006 qua_loss:1.71051323414 regression_loss:684.021972656
pose_loss:333.872802734 qua_loss:1.87618279457 regression_loss:709.109375
pose_loss:293.496520996 qua_loss:2.00118780136 regression_loss:693.734069824
pose_loss:354.218688965 qua_loss:1.68700540066 regression_loss:691.619750977
pose_loss:336.237213135 qua_loss:1.73988652229 regression_loss:684.214477539
pose_loss:301.27835083 qua_loss:1.77067828178 regression_loss:655.414001465
pose_loss:371.897460938 qua_loss:1.65808463097 regression_loss:703.514404297
pose_loss:343.177856445 qua_loss:1.82379686832 regression_loss:707.937255859
pose_loss:331.254882812 qua_loss:1.84811425209 regression_loss:700.877746582
pose_loss:352.189758301 qua_loss:2.02388739586 regression_loss:756.967224121
pose_loss:359.034210205 qua_loss:1.93576276302 regression_loss:746.186767578
pose_loss:342.435150146 qua_loss:1.88386082649 regression_loss:719.207275391
pose_loss:337.079467773 qua_loss:1.85520040989 regression_loss:708.119506836
pose_loss:326.300079346 qua_loss:1.86870217323 regression_loss:700.040527344
pose_loss:291.753540039 qua_loss:1.8884203434 regression_loss:669.43762207
pose_loss:341.82800293 qua_loss:1.69201850891 regression_loss:680.231689453
pose_loss:379.8465271 qua_loss:1.6089322567 regression_loss:701.63293457
pose_loss:293.680419922 qua_loss:1.85995960236 regression_loss:665.672363281
pose_loss:306.231964111 qua_loss:1.81197929382 regression_loss:668.627807617
pose_loss:342.352722168 qua_loss:1.93175816536 regression_loss:728.704345703
pose_loss:312.372558594 qua_loss:1.89854896069 regression_loss:692.082336426
pose_loss:299.607788086 qua_loss:1.64027047157 regression_loss:627.661865234
pose_loss:360.433349609 qua_loss:1.87081873417 regression_loss:734.597106934
pose_loss:291.705749512 qua_loss:1.66613793373 regression_loss:624.933349609
pose_loss:324.028747559 qua_loss:1.74155068398 regression_loss:672.338867188
pose_loss:325.612854004 qua_loss:1.80052959919 regression_loss:685.71875
pose_loss:321.04598999 qua_loss:1.88270187378 regression_loss:697.586364746
pose_loss:324.454925537 qua_loss:1.67257738113 regression_loss:658.970397949
pose_loss:344.367797852 qua_loss:1.85406470299 regression_loss:715.180725098
pose_loss:393.596618652 qua_loss:1.87313270569 regression_loss:768.223144531
pose_loss:369.787261963 qua_loss:1.76471531391 regression_loss:722.73034668
pose_loss:412.316345215 qua_loss:1.84583008289 regression_loss:781.48236084
pose_loss:351.93347168 qua_loss:1.80904626846 regression_loss:713.742736816
pose_loss:369.928253174 qua_loss:1.69966483116 regression_loss:709.861206055
pose_loss:342.469604492 qua_loss:1.73916101456 regression_loss:690.301818848
pose_loss:375.94909668 qua_loss:1.77330613136 regression_loss:730.610351562
pose_loss:356.563842773 qua_loss:2.13586091995 regression_loss:783.736022949
pose_loss:300.1796875 qua_loss:1.96788477898 regression_loss:693.756652832
pose_loss:297.609283447 qua_loss:1.9812284708 regression_loss:693.854980469
pose_loss:353.631469727 qua_loss:1.99361538887 regression_loss:752.354553223
pose_loss:319.415863037 qua_loss:1.70369720459 regression_loss:660.155273438
pose_loss:320.504669189 qua_loss:1.6580363512 regression_loss:652.111938477
pose_loss:326.931396484 qua_loss:1.8536990881 regression_loss:697.671203613
pose_loss:360.194458008 qua_loss:1.87762832642 regression_loss:735.720092773
pose_loss:346.75680542 qua_loss:1.77864336967 regression_loss:702.485473633
pose_loss:336.87487793 qua_loss:1.78487563133 regression_loss:693.849975586
pose_loss:357.901763916 qua_loss:1.85299825668 regression_loss:728.501403809
pose_loss:361.375091553 qua_loss:1.84560847282 regression_loss:730.496826172
pose_loss:383.336303711 qua_loss:1.79658567905 regression_loss:742.653442383
pose_loss:308.363220215 qua_loss:1.88073205948 regression_loss:684.509643555
pose_loss:402.183074951 qua_loss:1.83375310898 regression_loss:768.93371582
pose_loss:356.847198486 qua_loss:1.74327623844 regression_loss:705.502441406
pose_loss:326.097167969 qua_loss:1.92240309715 regression_loss:710.577758789
pose_loss:320.935791016 qua_loss:1.72391092777 regression_loss:665.718017578
pose_loss:343.037841797 qua_loss:1.78457975388 regression_loss:699.953796387
pose_loss:298.577270508 qua_loss:1.82751250267 regression_loss:664.079772949
pose_loss:298.427154541 qua_loss:1.68272829056 regression_loss:634.97277832
pose_loss:337.095153809 qua_loss:1.88126587868 regression_loss:713.348327637
pose_loss:372.070373535 qua_loss:1.82219576836 regression_loss:736.509521484
pose_loss:350.820465088 qua_loss:1.80713737011 regression_loss:712.247924805
pose_loss:354.798248291 qua_loss:1.816598773 regression_loss:718.118041992
pose_loss:329.850585938 qua_loss:1.82092368603 regression_loss:694.03527832
pose_loss:345.940673828 qua_loss:1.91090762615 regression_loss:728.122192383
pose_loss:337.991699219 qua_loss:1.74716830254 regression_loss:687.425354004
pose_loss:336.496032715 qua_loss:1.95387613773 regression_loss:727.271240234
pose_loss:325.380187988 qua_loss:1.92874884605 regression_loss:711.129943848
pose_loss:324.395263672 qua_loss:1.76549768448 regression_loss:677.494812012
pose_loss:358.039367676 qua_loss:2.03064203262 regression_loss:764.167785645
pose_loss:297.420593262 qua_loss:1.74671125412 regression_loss:646.762817383
pose_loss:298.229095459 qua_loss:2.00097131729 regression_loss:698.423339844
pose_loss:324.250213623 qua_loss:1.66883540154 regression_loss:658.017333984
pose_loss:308.046447754 qua_loss:1.79088664055 regression_loss:666.223754883
pose_loss:343.467071533 qua_loss:1.80187761784 regression_loss:703.842590332
pose_loss:361.769134521 qua_loss:1.96026706696 regression_loss:753.822509766
pose_loss:364.476409912 qua_loss:1.92132246494 regression_loss:748.740905762
pose_loss:393.095428467 qua_loss:1.72815322876 regression_loss:738.726074219
pose_loss:321.119750977 qua_loss:2.0942568779 regression_loss:739.971130371
pose_loss:348.444519043 qua_loss:1.84330940247 regression_loss:717.106384277
pose_loss:350.536621094 qua_loss:1.52448093891 regression_loss:655.432800293
pose_loss:347.262817383 qua_loss:1.67320430279 regression_loss:681.903686523
pose_loss:330.355529785 qua_loss:1.63634502888 regression_loss:657.624511719
pose_loss:302.048370361 qua_loss:1.63778662682 regression_loss:629.605712891
pose_loss:311.457122803 qua_loss:1.7109246254 regression_loss:653.642089844
pose_loss:370.982727051 qua_loss:1.64779496193 regression_loss:700.541748047
pose_loss:339.911529541 qua_loss:1.91056871414 regression_loss:722.025268555
pose_loss:351.575256348 qua_loss:1.82504057884 regression_loss:716.583374023
pose_loss:318.916687012 qua_loss:1.72836220264 regression_loss:664.589111328
pose_loss:318.849700928 qua_loss:1.70570254326 regression_loss:659.990234375
pose_loss:336.396575928 qua_loss:1.70410943031 regression_loss:677.218505859
pose_loss:346.256103516 qua_loss:1.87478160858 regression_loss:721.212402344
pose_loss:289.108276367 qua_loss:1.98583245277 regression_loss:686.274780273
pose_loss:352.305633545 qua_loss:1.8124525547 regression_loss:714.796142578
pose_loss:332.252410889 qua_loss:1.73494815826 regression_loss:679.24206543
pose_loss:351.87600708 qua_loss:1.62127995491 regression_loss:676.131958008
pose_loss:328.87387085 qua_loss:1.69479322433 regression_loss:667.832519531
pose_loss:339.368469238 qua_loss:1.62394952774 regression_loss:664.15838623
pose_loss:344.937042236 qua_loss:1.63124489784 regression_loss:671.186035156
pose_loss:296.86138916 qua_loss:1.76858925819 regression_loss:650.579223633
pose_loss:340.822845459 qua_loss:1.60633814335 regression_loss:662.090454102
pose_loss:332.228820801 qua_loss:1.76203608513 regression_loss:684.636047363
pose_loss:349.75491333 qua_loss:1.55007314682 regression_loss:659.76953125
pose_loss:344.468780518 qua_loss:1.74831414223 regression_loss:694.131591797
pose_loss:308.88885498 qua_loss:1.56774175167 regression_loss:622.437194824
pose_loss:332.369567871 qua_loss:1.65821242332 regression_loss:664.012084961
pose_loss:288.513122559 qua_loss:1.4990016222 regression_loss:588.313476562
pose_loss:325.938720703 qua_loss:1.85810184479 regression_loss:697.559082031
pose_loss:349.790466309 qua_loss:1.79290997982 regression_loss:708.372436523
pose_loss:347.18838501 qua_loss:1.88850688934 regression_loss:724.889770508
pose_loss:270.491790771 qua_loss:1.64484667778 regression_loss:599.461120605
pose_loss:349.278686523 qua_loss:1.74814140797 regression_loss:698.906982422
pose_loss:370.080444336 qua_loss:1.50801444054 regression_loss:671.683349609
pose_loss:340.457092285 qua_loss:1.54275810719 regression_loss:649.008728027
pose_loss:358.40838623 qua_loss:1.5629825592 regression_loss:671.004882812
pose_loss:297.228668213 qua_loss:1.68826913834 regression_loss:634.882507324
pose_loss:305.778198242 qua_loss:1.72086262703 regression_loss:649.950683594
pose_loss:299.825378418 qua_loss:1.56355047226 regression_loss:612.535461426
pose_loss:358.923156738 qua_loss:1.71966660023 regression_loss:702.856445312
pose_loss:323.00604248 qua_loss:1.74743771553 regression_loss:672.493591309
pose_loss:272.024139404 qua_loss:1.64337301254 regression_loss:600.698730469
pose_loss:336.243621826 qua_loss:1.57798361778 regression_loss:651.840332031
pose_loss:356.264892578 qua_loss:1.53412818909 regression_loss:663.090515137
pose_loss:318.658203125 qua_loss:1.80505943298 regression_loss:679.67010498
pose_loss:303.08581543 qua_loss:1.88949847221 regression_loss:680.985473633
pose_loss:344.251739502 qua_loss:1.76721167564 regression_loss:697.694091797
pose_loss:326.050689697 qua_loss:1.70478785038 regression_loss:667.008300781
pose_loss:336.376403809 qua_loss:1.63334059715 regression_loss:663.044555664
pose_loss:354.873931885 qua_loss:1.63202881813 regression_loss:681.279663086
pose_loss:310.00088501 qua_loss:1.58587539196 regression_loss:627.175964355
pose_loss:314.177978516 qua_loss:1.45771467686 regression_loss:605.720947266
pose_loss:315.4581604 qua_loss:1.72329902649 regression_loss:660.117919922
pose_loss:322.210601807 qua_loss:1.85072302818 regression_loss:692.355224609
pose_loss:318.363494873 qua_loss:1.74067401886 regression_loss:666.498291016
pose_loss:281.374572754 qua_loss:1.52506542206 regression_loss:586.387695312
pose_loss:359.721893311 qua_loss:1.65882456303 regression_loss:691.486816406
pose_loss:288.223846436 qua_loss:1.52871286869 regression_loss:593.966430664
pose_loss:315.171112061 qua_loss:1.4733812809 regression_loss:609.847412109
pose_loss:331.632598877 qua_loss:1.58143532276 regression_loss:647.919677734
pose_loss:292.676818848 qua_loss:1.58519113064 regression_loss:609.715087891
pose_loss:291.422332764 qua_loss:1.73209404945 regression_loss:637.841186523
pose_loss:325.658233643 qua_loss:1.41861200333 regression_loss:609.380615234
pose_loss:355.508789062 qua_loss:1.78398931026 regression_loss:712.306640625
pose_loss:345.514465332 qua_loss:1.45597624779 regression_loss:636.709716797
pose_loss:308.867401123 qua_loss:1.5524828434 regression_loss:619.364013672
pose_loss:378.740966797 qua_loss:1.66227650642 regression_loss:711.196289062
pose_loss:303.124481201 qua_loss:1.55778729916 regression_loss:614.681945801
pose_loss:308.612213135 qua_loss:1.46680653095 regression_loss:601.973510742
pose_loss:348.893798828 qua_loss:1.62015748024 regression_loss:672.925292969
pose_loss:322.776153564 qua_loss:1.56407690048 regression_loss:635.591552734
pose_loss:297.624786377 qua_loss:1.63881695271 regression_loss:625.388183594
pose_loss:326.772613525 qua_loss:1.56850266457 regression_loss:640.473144531
pose_loss:281.385925293 qua_loss:1.76301789284 regression_loss:633.989501953
